"","cname","code","v2x_polyarchy","v2x_libdem","v2x_partipdem","v2x_delibdem","v2x_egaldem","vdem.mean","p_polity2","fhi","fhi_polity2","grn.seat","r.rate","taxgap.shadow","qog","mean.schl","lit.rate","ldi","hfi","eps_mean","gdp.pc","reg.mean"
"117","Mozambique","MOZ",0.454,0.296,0.282,0.323,0.289,0.3288,0.75,0.5,0.625,NA,NA,NA,0.3611111,3.5,58.836552,"0.319",0.517441860465116,NA,"852.39001",403.44076
"118","Myanmar","MMR",NA,NA,NA,NA,NA,NA,0.6,1,0.425,NA,NA,NA,0.33333334,4.9,93.09005,"0.176",0.337209302325581,NA,"5733.3701",NA
"119","Namibia","NAM",0.731,0.602,0.482,0.589,0.482,0.5772,0.8,0,0.8166666,NA,NA,NA,0.6111111,6.7,91.1738865,"0.57",0.64922480620155,NA,"4521.29",403.43877332
"120","Nauru","NRU",NA,NA,NA,NA,NA,NA,NA,0,0.85957413,NA,NA,NA,NA,NA,95.62198,"0.77",NA,NA,"3130.47",NA
"121","Nepal","NPL",0.579,0.462,0.324,0.401,0.407,0.4346,0.8,0.5,0.6916667,NA,NA,NA,NA,4.7,66.2860365,"0.49",0.643410852713178,NA,"1462.08",403.48525334
"122","Netherlands","NLD",0.883,0.827,0.616,0.837,0.803,0.7932,1,0,1,2.7,56.6,3.06,0.94444442,12.1,99,"0.849",0.941860465116279,NA,"42258.352",403.55864
"123","New Zealand","NZL",0.888,0.829,0.705,0.744,0.788,0.7908,1,0,1,11.6,NA,NA,0.94444448,12.4,99,"0.827",1,NA,"26481.369",403.55816
"124","Nicaragua","NIC",0.358,0.135,0.21,0.163,0.214,0.216,0.95,0.5,0.7666667,NA,NA,NA,0.3611111,6.5,82.471848,"0.141",0.589147286821705,NA,"2527.1001",403.48653334
"125","Niger","NER",0.624,0.493,0.449,0.564,0.438,0.5136,0.8,0.5,0.6916667,NA,NA,NA,0.31944445,1.8,27.0763,"0.488",0.410852713178294,NA,"644.53998",403.50105334
"126","Nigeria","NGA",0.594,0.424,0.395,0.482,0.35,0.449,0.85,0.5,0.6333333,NA,NA,NA,0.27777779,6,60.7920455,"0.421",0.439922480620155,NA,"2246.8201",403.48646666
"127","North Korea","PRK",0.1,0.014,0.024,0.012,0.087,0.0474,0,1,0,NA,NA,NA,0.30555555,NA,96.52701,"0.011",NA,NA,"1727.8199",403.20948
"128","North Macedonia","MKD",0.464,0.276,0.31,0.234,0.323,0.3214,0.95,0.5,0.7666667,NA,NA,NA,NA,9.6,97.843758,"0.302",0.693798449612403,NA,"9610.5996",403.50761334
"129","Norway","NOR",0.882,0.844,0.629,0.855,0.837,0.8094,1,0,1,0.60000002,42.8,2.72,0.97222221,12.5,99,"0.861",0.906976744186046,NA,"57634.77",403.56188
"130","Oman","OMN",0.174,0.125,0.119,0.085,0.183,0.1372,0.1,1,0.175,NA,NA,NA,0.6111111,9.5,94.8115895,"0.126",0.459302325581395,NA,"26158.73",403.28244
"131","Pakistan","PAK",0.482,0.298,0.29,0.332,0.16,0.3124,0.85,0.5,0.6333333,NA,NA,NA,0.44444445,5.1,56.440311,"0.286",0.364341085271318,NA,"2855.55",403.45914666
"132","Palau","PLW",NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,12.2,99.523972,"0.92",NA,NA,"9392.5996",NA
"133","Panama","PAN",0.791,0.591,0.524,0.639,0.579,0.6248,0.95,0,0.8916666,NA,NA,NA,0.44444445,9.9,95.2250205,"0.611",0.800387596899225,NA,"15137.04",403.49329332
"134","Papua New Guinea","PNG",0.471,0.366,0.272,0.281,0.237,0.3254,0.75,0.5,0.6666667,NA,NA,NA,0.44444445,4.3,63.433491,"0.318",0.59108527131783,NA,"1693.54",403.44841334
"135","Paraguay","PRY",0.601,0.419,0.395,0.323,0.256,0.3988,0.95,0.5,0.8083333,NA,NA,NA,0.30555555,8.5,94.778455,"0.433",0.64922480620155,NA,"4812.9199",403.53142666
